Shape_Leng,Shape_Area,ADM2_EN,ADM2_PCODE,POP_2015,POP_2015_M,POP_2015_F,POP_2015_Rur,POP_2015_Urb,POP_2016,POP_2016_M,POP_2016_F,POP_2016_Rur,POP_2016_Urb,POP_2017,POP_2017_M,POP_2017_F,POP_2017_Rur,POP_2017_Urb,POP_2018,POP_2018_M,POP_2018_F,POP_2018_Rur,POP_2018_Urb,POP_2019,POP_2019_M,POP_2019_F,POP_2019_Rur,POP_2019_Urb,Tot_Villag
2.861696483,0.243019487,Kikuube,UG4118,278700,142300,136400,203900,82100,293400,150000,143400,208100,83800,308700,158000,150700,212300,85500,324700,166400,158300,216500,87200,341300,175100,166200,136400,88900,0
2.740306107,0.247255476,Kiruhura,UG4119,155300,80500,74800,117500,30500,161200,83600,77600,122000,31700,167000,86700,80300,126800,32900,173100,90100,83000,131600,34200,179200,93300,85900,163300,35400,572
2.647974331,0.29540766,Kiryandongo,UG4120,272200,136100,136100,153200,53400,280300,140400,139900,155700,54300,288600,144900,143700,158200,55200,296800,149300,147500,160800,56100,305300,153900,151400,168600,56900,233
1.388223557,0.058991573,Kisoro,UG4121,286000,128100,157900,144500,68500,291900,130800,161100,150300,71200,297800,133500,164300,156300,74000,303700,136200,167500,162400,76900,309600,138900,170700,223500,79900,397
1.413403014,0.05813473,Kitagwenda,UG4122,148000,72200,75800,198200,46900,153700,75200,78500,204400,48300,159700,78300,81400,210600,49800,165800,81500,84300,217000,51300,171800,84600,87200,114100,52800,0
3.744889072,0.33786463,Kitgum,UG3077,206600,100600,106000,104100,80200,210000,102300,107700,106600,82100,213400,104100,109300,109100,84100,216900,105900,111000,111600,86000,220200,107600,112600,198300,88000,521
1.428793814,0.062118996,Koboko,UG3078,213000,105600,107400,175600,69400,221500,110000,111500,181100,71600,230300,114500,115800,186700,73800,239300,119200,120100,192500,76000,248500,123900,124600,178600,78300,393
1.820959074,0.08711746,Kole,UG3079,245100,120200,124900,159000,28500,252700,124200,128500,163900,29300,260400,128200,132200,168700,30200,268300,132400,135900,173700,31100,276300,136600,139700,96800,32000,566
3.034120953,0.29536707,Kotido,UG3080,184300,87900,96400,86800,8900,188700,90200,98500,89300,9100,193200,92500,100700,91700,9400,197600,94800,102800,94200,9700,202100,97100,105000,215500,9900,170
1.62124805,0.08733139,Kumi,UG2049,245000,119500,125500,178200,45000,252700,123500,129200,186900,47300,260500,127600,132900,196000,49600,268500,131800,136700,205600,52000,276600,136100,140500,300500,54500,0
1.917734962,0.11444744,Kwania,UG3081,187500,91800,95700,220600,79500,193200,94700,98500,238400,85900,198900,97600,101300,257700,92800,204800,100600,104200,278300,100300,210600,103600,107000,337000,108200,488
1.87700731,0.06416624,Kween,UG2050,95700,48600,47100,289600,145600,98400,50100,48300,300900,151400,101100,51600,49500,312700,157200,103900,53200,50700,324700,163300,106700,54800,51900,187400,169500,387
2.277781851,0.200216361,Kyankwanzi,UG1012,223200,116200,107000,176400,65900,234200,122200,112000,179100,67000,245600,128400,117200,182000,68000,257600,135000,122600,184700,69000,270000,141800,128200,109700,70000,478
2.082649525,0.14187398,Kyegegwa,UG4123,300100,150100,150000,104600,31000,324300,162400,161900,105900,31400,350500,175800,174700,107200,31800,378600,190200,188400,108500,32200,408700,205600,203100,201900,32600,639
2.411433721,0.190597892,Kyenjojo,UG4124,435200,217500,217700,180700,24200,452300,226500,225800,186000,25000,469900,235800,234100,191100,25700,488000,245400,242600,196700,26400,506500,255200,251300,204200,27100,0
2.52046668,0.198948184,Kyotera,UG1013,242300,119900,122400,188400,53400,246100,122000,124100,192300,54500,250000,124200,125800,196300,55600,253700,126300,127400,200300,56700,257400,128300,129100,308900,57900,350
3.393283059,0.443142594,Lamwo,UG3082,135600,65600,70000,280900,184600,137300,66300,71000,287800,189100,139000,67000,72000,294800,193700,140700,67700,73000,301800,198400,142300,68300,74000,193000,203000,746
2.59654181,0.107509661,Lira,UG3083,417000,201000,216000,185500,91400,429000,206800,222200,187400,92400,441200,212600,228600,189300,93300,453500,218500,235000,191100,94300,465900,224400,241500,86800,95100,0
1.474225349,0.052785298,Luuka,UG2051,241800,115500,126300,77500,18400,246800,118000,128800,79800,19000,251900,120600,131300,82100,19500,257000,123100,133900,84500,20100,262100,125700,136400,136700,20700,263
2.560916063,0.180180662,Luwero,UG1014,465500,231500,234000,122500,20700,476900,237600,239300,126000,21300,488500,243800,244700,129500,21900,500200,250100,250100,133200,22500,511900,256400,255500,122800,23100,592
1.660018526,0.08322437,Lwengo,UG1015,276900,134600,142300,112000,44200,279800,136200,143600,114700,45300,282600,137700,144900,117400,46400,285400,139200,146200,120100,47500,288100,140700,147400,156600,48500,461
1.330344315,0.070352932,Lyantonde,UG1016,95900,47900,48000,144700,44200,98800,49400,49400,147800,45100,101600,50900,50700,150700,46100,104600,52500,52100,153700,47000,107500,54000,53500,118000,47900,219
2.384501604,0.164224636,Madi Okollo,UG3084,143200,69900,73300,108400,0,147300,71800,75500,110800,0,151400,74200,77200,113300,0,155700,76200,79500,115700,0,159800,78300,81500,169800,0,0
0.836962584,0.019310678,Manafwa,UG2052,156200,76400,79800,152300,145200,160000,78300,81700,156500,149300,163800,80300,83500,160900,153500,167600,82300,85300,165400,157700,171300,84200,87100,467200,162000,1423
1.065480794,0.035729868,Maracha,UG3085,188900,89300,99600,412900,72000,192900,91300,101600,426200,74300,196800,93200,103600,439600,76600,200700,95100,105600,453200,79000,204500,97000,107500,245100,81400,402
2.213732745,0.178594309,Masaka,UG1017,301900,148200,153700,215900,12100,308600,151700,156900,222900,12500,315400,155300,160100,230000,12900,322200,158900,163300,237400,13300,328900,162400,166500,101600,13700,355
3.780475115,0.318841248,Masindi,UG4125,297500,151600,145900,93000,59000,305800,156000,149800,95200,60400,314400,160600,153800,97300,61800,323100,165200,157900,99500,63100,331800,169800,162000,144100,64400,309
